ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-68.964,-60.4898,1,2020191,-69.0667,-60.5167,1,10,9
-68.8507,-60.5408,1,2020192,-69.0667,-60.5167,1,10,9
-68.9144,-60.5745,1,2020193,-69.0658,-60.5186,0,0,0
-68.9144,-60.5745,1,2020194,-69.0632,-60.524,0,0,0
-68.9144,-60.5745,1,2020195,-69.0592,-60.5322,0,0,0
-68.9144,-60.5745,1,2020196,-69.0539,-60.5428,0,0,0
-68.9144,-60.5745,1,2020197,-69.0477,-60.5552,0,0,0
-69.0716,-60.4869,1,2020198,-69.0408,-60.5689,0,0,0
-69.0716,-60.4869,1,2020199,-69.0333,-60.5833,1,10,9
-69.0716,-60.4869,1,2020200,-69.0203,-60.6055,0,0,0
-68.9144,-60.5745,1,2020201,-68.9991,-60.6393,0,0,0
-68.9144,-60.5745,1,2020202,-68.9734,-60.6796,0,0,0
-68.9151,-60.618,0,2020203,-68.9469,-60.7211,0,0,0
-68.9167,-60.7138,0,2020204,-68.9233,-60.7585,0,0,0
-68.9183,-60.8095,0,2020205,-68.9064,-60.7865,0,0,0
-68.919,-60.853,1,2020206,-68.9,-60.8,1,10,9
-68.9187,-60.8502,0,2020207,-68.9,-60.8042,0,0,0
-68.9177,-60.8418,0,2020208,-68.9,-60.8078,0,0,0
-68.9159,-60.8279,0,2020209,-68.9,-60.8109,0,0,0
-68.9133,-60.8083,0,2020210,-68.9,-60.8134,0,0,0
-68.9099,-60.7833,0,2020211,-68.9,-60.8152,0,0,0
-68.9055,-60.7527,0,2020212,-68.9,-60.8163,0,0,0
-68.9002,-60.7166,1,2020213,-68.9,-60.8167,1,10,9
-68.8807,-60.6204,1,2020214,-68.8991,-60.8111,0,0,0
-68.845,-60.6848,0,2020215,-68.8967,-60.7966,0,0,0
-68.8208,-60.7493,1,2020216,-68.8934,-60.7762,0,0,0
-68.8208,-60.7493,1,2020217,-68.8899,-60.7532,0,0,0
-68.8208,-60.7493,1,2020218,-68.8866,-60.7307,0,0,0
-68.8208,-60.7493,0,2020219,-68.8842,-60.7119,0,0,0
-68.8208,-60.7493,1,2020220,-68.8833,-60.7,1,10,9
-68.8208,-60.7493,1,2020221,-68.8833,-60.6927,0,0,0
-68.8208,-60.7493,1,2020222,-68.8833,-60.6858,0,0,0
-68.8208,-60.7493,0,2020223,-68.8833,-60.6796,0,0,0
-68.8208,-60.7493,0,2020224,-68.8833,-60.6744,0,0,0
-68.8208,-60.7493,0,2020225,-68.8833,-60.6703,0,0,0
-68.8208,-60.7493,1,2020226,-68.8833,-60.6676,0,0,0
