ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-75.02,-101.16,1,2018301,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018304,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018305,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018306,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018309,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018310,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018311,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018312,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018313,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018314,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018315,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018316,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018317,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018318,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018319,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018320,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018321,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018323,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018324,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018325,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018326,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018327,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018328,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018329,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018330,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018331,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018332,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018333,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018334,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018335,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018336,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018337,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018338,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018339,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018340,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018341,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018342,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018343,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018344,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018345,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018346,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018347,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018348,-75.0333,-101.2667,1,14,4
-75.02,-101.16,1,2018349,0,0,0,0,0
-75.02,-101.16,1,2018350,0,0,0,0,0
-75.02,-101.16,1,2018351,0,0,0,0,0
-75.02,-101.16,1,2018352,0,0,0,0,0
-75.02,-101.16,1,2018353,0,0,0,0,0
-75.02,-101.16,1,2018354,0,0,0,0,0
-75.02,-101.16,1,2018355,0,0,0,0,0
-75.02,-101.16,1,2018356,0,0,0,0,0
-75.0239,-101.1953,1,2018357,0,0,0,0,0
-75.0239,-101.1953,1,2018358,0,0,0,0,0
-75.0239,-101.1953,1,2018359,0,0,0,0,0
-75.0239,-101.1953,1,2018360,0,0,0,0,0
-75.0239,-101.1953,1,2018361,0,0,0,0,0
-75.0239,-101.1953,1,2018362,0,0,0,0,0
-75.0239,-101.1953,1,2018363,0,0,0,0,0
-75.0239,-101.1953,1,2018364,0,0,0,0,0
-75.0239,-101.1953,1,2018365,0,0,0,0,0
-75.0239,-101.1953,1,2019003,0,0,0,0,0
-75.0239,-101.1953,1,2019004,-75.0333,-101.3167,1,14,4
-75.0282,-101.0742,1,2019006,0,0,0,0,0
-75.0359,-100.9207,1,2019007,0,0,0,0,0
-75.0435,-100.7671,1,2019008,0,0,0,0,0
-75.0376,-100.8871,1,2019009,0,0,0,0,0
-75.0433,-100.9696,1,2019010,0,0,0,0,0
