ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2019032,-68.1333,147.8333,1,23,16
-68.0806,147.5056,1,2019034,0,0,0,0,0
-68.0806,147.5056,1,2019035,0,0,0,0,0
-68.0806,147.5056,1,2019036,0,0,0,0,0
-68.0806,147.5056,1,2019037,0,0,0,0,0
-68.0806,147.5056,1,2019038,0,0,0,0,0
0,0,0,2019039,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019040,0,0,0,0,0
-68.0806,147.5056,1,2019041,0,0,0,0,0
-68.0806,147.5056,1,2019042,0,0,0,0,0
-68.0806,147.5056,1,2019043,0,0,0,0,0
-68.0806,147.5056,1,2019044,0,0,0,0,0
-68.0806,147.5056,1,2019045,0,0,0,0,0
0,0,0,2019046,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019047,0,0,0,0,0
-68.0806,147.5056,1,2019048,0,0,0,0,0
-68.0806,147.5056,1,2019049,0,0,0,0,0
-68.0806,147.5056,1,2019050,0,0,0,0,0
-68.0806,147.5056,1,2019051,0,0,0,0,0
-68.0806,147.5056,1,2019052,0,0,0,0,0
0,0,0,2019053,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019054,0,0,0,0,0
-68.0806,147.5056,1,2019055,0,0,0,0,0
-68.0806,147.5056,1,2019056,0,0,0,0,0
-68.0806,147.5056,1,2019057,0,0,0,0,0
-68.0806,147.5056,1,2019058,0,0,0,0,0
-68.0806,147.5056,1,2019059,0,0,0,0,0
0,0,0,2019060,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019061,0,0,0,0,0
-68.0806,147.5056,1,2019062,0,0,0,0,0
-68.0806,147.5056,1,2019063,0,0,0,0,0
-68.0806,147.5056,1,2019064,0,0,0,0,0
-68.0806,147.5056,1,2019065,0,0,0,0,0
-68.0806,147.5056,1,2019066,0,0,0,0,0
0,0,0,2019067,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019068,0,0,0,0,0
-68.0806,147.5056,1,2019069,0,0,0,0,0
-68.0806,147.5056,1,2019070,0,0,0,0,0
-68.0806,147.5056,1,2019071,0,0,0,0,0
-68.0806,147.5056,1,2019072,0,0,0,0,0
-68.0806,147.5056,1,2019073,0,0,0,0,0
0,0,0,2019074,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019075,0,0,0,0,0
-68.0806,147.5056,1,2019076,0,0,0,0,0
-68.0806,147.5056,1,2019077,0,0,0,0,0
-68.0806,147.5056,1,2019078,0,0,0,0,0
-68.0806,147.5056,1,2019079,0,0,0,0,0
-68.0806,147.5056,1,2019080,0,0,0,0,0
0,0,0,2019081,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019082,0,0,0,0,0
-68.0806,147.5056,1,2019083,0,0,0,0,0
-68.0806,147.5056,1,2019084,0,0,0,0,0
-68.0806,147.5056,1,2019085,0,0,0,0,0
-68.0806,147.5056,1,2019086,0,0,0,0,0
-68.0806,147.5056,1,2019087,0,0,0,0,0
0,0,0,2019088,-68.1333,147.8333,1,23,16
-68.14,147.8,1,2019089,0,0,0,0,0
-68.0806,147.5056,1,2019090,0,0,0,0,0
-68.14,147.8,1,2019091,0,0,0,0,0
-68.1068,147.8183,1,2019092,0,0,0,0,0
-68.1068,147.8183,1,2019093,0,0,0,0,0
-68.1068,147.8183,1,2019094,0,0,0,0,0
0,0,0,2019095,-68.1333,147.8333,1,23,16
-68.1068,147.8183,1,2019096,0,0,0,0,0
-68.1068,147.8183,1,2019097,0,0,0,0,0
-68.1068,147.8183,1,2019098,0,0,0,0,0
-68.1068,147.8183,1,2019099,0,0,0,0,0
-68.1068,147.8183,1,2019100,0,0,0,0,0
-68.1068,147.8183,1,2019101,0,0,0,0,0
0,0,0,2019102,-68.1333,147.8333,1,23,16
-68.1068,147.8183,1,2019103,0,0,0,0,0
-68.1068,147.8183,1,2019104,0,0,0,0,0
-68.1068,147.8183,1,2019105,0,0,0,0,0
-68.1068,147.8183,1,2019106,0,0,0,0,0
-68.1068,147.8183,1,2019108,0,0,0,0,0
