ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-65.1361,101.7632,1,2022084,-65.2,101.75,1,10,8
-65.1108,101.7033,1,2022085,-65.1957,101.7457,0,0,0
-65.1108,101.7033,1,2022086,-65.1917,101.7417,0,0,0
-65.1221,101.685,1,2022087,-65.1879,101.7379,0,0,0
-65.1221,101.685,1,2022088,-65.1847,101.7347,0,0,0
-65.1049,101.7714,1,2022089,-65.1822,101.7322,0,0,0
-65.1578,101.655,1,2022090,-65.1806,101.7306,0,0,0
-65.18,101.73,1,2022091,-65.18,101.73,1,10,8
-65.18,101.73,1,2022092,-65.18,101.73,0,0,0
-65.18,101.73,1,2022093,-65.18,101.73,0,0,0
-65.18,101.73,1,2022094,-65.18,101.73,0,0,0
-65.1652,101.6347,1,2022095,-65.18,101.73,0,0,0
-65.1652,101.6347,1,2022096,-65.18,101.73,0,0,0
-65.2121,101.5862,1,2022097,-65.18,101.73,0,0,0
-65.18,101.73,1,2022098,-65.18,101.73,1,10,8
-65.18,101.73,1,2022099,-65.1794,101.7261,0,0,0
-65.1632,101.6575,1,2022100,-65.178,101.7161,0,0,0
-65.1632,101.6575,1,2022101,-65.1761,101.7024,0,0,0
-65.1665,101.6353,1,2022102,-65.1739,101.6876,0,0,0
-65.1665,101.6353,1,2022103,-65.172,101.6739,0,0,0
-65.1665,101.6353,1,2022104,-65.1706,101.6639,0,0,0
-65.1665,101.6353,1,2022105,-65.17,101.66,1,10,8
-65.1665,101.6353,1,2022106,-65.17,101.66,0,0,0
-65.1665,101.6353,0,2022107,-65.17,101.66,0,0,0
-65.1665,101.6353,1,2022108,-65.17,101.66,0,0,0
-65.1665,101.6353,0,2022109,-65.17,101.66,0,0,0
-65.1665,101.6353,1,2022110,-65.17,101.66,0,0,0
-65.1683,101.6476,0,2022111,-65.17,101.66,0,0,0
-65.17,101.66,1,2022112,-65.17,101.66,1,10,8
-65.17,101.66,1,2022113,0,0,0,0,0
-65.17,101.66,1,2022114,0,0,0,0,0
-65.17,101.66,1,2022115,0,0,0,0,0
