date,ers_1,ers_2,ers_3
1992226,-73.279,-171.0816,1
1992227,-73.2225,-171.1123,1
1992228,-73.166,-171.1429,1
1992229,-73.1206,-171.1146,1
1992230,-73.082,-171.0313,0
1992231,-73.0523,-170.9402,1
1992232,-73.0352,-170.8966,1
1992233,-73.0352,-170.8966,1
1992234,-73.0352,-170.8966,1
1992235,-73.0352,-170.8966,1
1992236,-73.0352,-170.8966,1
1992237,-73.0352,-170.8966,1
1992238,-73.0161,-171.0004,1
1992239,-72.9779,-171.2079,1
1992240,-72.9404,-171.4109,0
1992241,-72.9053,-171.6011,1
1992242,-72.8751,-171.7651,1
1992243,-72.8448,-171.9291,1
1992244,-72.8053,-172.079,1
1992245,-72.7567,-172.2149,1
1992246,-72.7081,-172.3508,1
1992247,-72.6614,-172.4056,1
1992248,-72.6165,-172.3795,1
1992249,-72.5716,-172.3534,1
1992250,-72.5556,-172.344,0
1992251,-72.5492,-172.3403,1
1992252,-72.5492,-172.3403,1
1992253,-72.4775,-172.2574,1
1992254,-72.3342,-172.0917,1
1992255,-72.1909,-171.9259,1
1992256,-72.0475,-171.7602,1
1992257,-71.9042,-171.5944,1
1992258,-71.7609,-171.4287,1
1992259,-71.663,-171.3442,1
1992260,-71.6014,-171.3397,0
1992261,-71.5583,-171.3377,1
1992262,-71.5321,-171.3361,1
1992263,-71.5321,-171.3361,1
1992264,-71.5321,-171.3361,1
1992265,-71.4299,-171.6322,1
1992266,-71.2254,-172.2244,1
1992267,-71.021,-172.8166,1
1992268,-70.8858,-173.1536,1
1992269,-70.8198,-173.2355,1
1992270,-70.7556,-173.3158,0
1992271,-70.697,-173.3916,1
1992272,-70.6496,-173.4583,1
1992273,-70.602,-173.525,1
1992274,-70.5783,-173.5584,1
1992275,-70.5783,-173.5584,1
1992276,-70.5783,-173.5584,1
1992277,-70.5452,-173.72,1
1992278,-70.4792,-174.0431,1
1992279,-70.413,-174.3662,1
1992280,-70.357,-174.4827,0
1992281,-70.3053,-174.5305,1
1992282,-70.2554,-174.5322,1
1992283,-70.2085,-174.5245,1
1992284,-70.1646,-174.5071,1
1992285,-70.1207,-174.4898,1
1992286,-70.0722,-174.4887,1
1992287,-70.0193,-174.5036,1
1992288,-69.9664,-174.5185,1
1992289,-69.908,-174.5202,1
1992290,-69.842,-174.5088,0
1992291,-69.7802,-174.4973,1
1992292,-69.7343,-174.573,1
1992293,-69.7063,-174.7359,1
1992294,-69.6783,-174.8988,1
1992295,-69.6325,-175.0354,1
1992296,-69.5688,-175.1458,1
1992297,-69.5052,-175.2563,1
1992298,-69.4571,-175.2624,1
1992299,-69.4246,-175.1641,1
1992300,-69.3931,-175.069,0
1992301,-69.3758,-175.0167,1
1992302,-69.3758,-175.0167,1
1992303,-69.3758,-175.0167,1
1992304,-69.3583,-175.0452,1
1992305,-69.3234,-175.1023,1
1992306,-69.2884,-175.1594,1
1992307,-69.2709,-175.1879,1
1992308,-69.2709,-175.1879,1
1992309,-69.2709,-175.1879,1
1992310,-69.258,-175.2308,0
1992311,-69.2345,-175.3089,1
1992312,-69.2102,-175.3895,1
1992313,-69.1685,-175.3894,1
1992314,-69.1094,-175.3085,1
1992315,-69.0503,-175.2277,1
1992316,-68.9909,-175.1902,1
1992317,-68.9314,-175.1959,1
1992318,-68.8719,-175.2015,1
1992319,-68.8203,-175.1956,1
1992320,-68.7771,-175.1815,0
1992321,-68.7329,-175.1605,1
1992322,-68.6771,-175.1322,1
1992323,-68.6091,-175.0932,1
1992324,-68.5412,-175.0541,1
1992325,-68.4882,-175.0575,1
1992326,-68.4501,-175.1034,1
1992327,-68.412,-175.1492,1
1992328,-68.3263,-175.0755,1
1992329,-68.1929,-174.8822,1
1992330,-68.0647,-174.695,0
1992331,-67.9944,-174.526,1
1992332,-67.9972,-174.3931,1
1992333,-68,-174.2602,1
1992334,-68.0086,-174.1207,1
1992335,-68.0229,-173.9748,1
1992336,-68.0372,-173.8289,1
1992337,-68.0443,-173.7559,1
1992338,-68.0443,-173.7559,1
1992339,-68.0443,-173.7559,1
1992340,-68.0405,-173.71,0
1992341,-68.0336,-173.6266,1
1992342,-68.0265,-173.5403,1
1992343,-68.0236,-173.3991,1
1992344,-68.0249,-173.2029,1
1992345,-68.0262,-173.0066,1
1992346,-68.031,-172.8897,1
1992347,-68.0392,-172.8521,1
1992348,-68.0476,-172.8146,1
1992349,-68.1045,-172.7416,1
1992350,-68.2088,-172.6345,0
1992351,-68.3157,-172.5246,1
1992352,-68.3785,-172.4441,1
1992353,-68.3984,-172.3918,1
1992354,-68.4184,-172.3395,1
1992355,-68.4284,-172.3133,1
1992356,-68.4284,-172.3133,1
1992357,-68.4284,-172.3133,1
