ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-65.06,101.72,1,2022084,-65.06,101.72,1,8,7
-65.06,101.72,1,2022085,-65.0494,101.7221,0,0,0
-65.06,101.72,1,2022086,-65.0392,101.7242,0,0,0
-65.06,101.72,1,2022087,-65.0298,101.726,0,0,0
-65.06,101.72,1,2022088,-65.0218,101.7276,0,0,0
-65.06,101.72,1,2022089,-65.0155,101.7289,0,0,0
-65.06,101.72,1,2022090,-65.0115,101.7297,0,0,0
-65.01,101.73,1,2022091,-65.01,101.73,1,8,7
-65.01,101.73,1,2022092,-65.01,101.73,0,0,0
-65.01,101.73,1,2022093,-65.01,101.73,0,0,0
-65.01,101.73,1,2022094,-65.01,101.73,0,0,0
-65.01,101.73,1,2022095,-65.01,101.73,0,0,0
-65.01,101.73,1,2022096,-65.01,101.73,0,0,0
-65.01,101.73,1,2022097,-65.01,101.73,0,0,0
-65.01,101.73,1,2022098,-65.01,101.73,1,8,7
-65.01,101.73,1,2022099,-65.0094,101.7283,0,0,0
-65.01,101.73,1,2022100,-65.008,101.7241,0,0,0
-65.01,101.73,1,2022101,-65.0061,101.7182,0,0,0
-65.01,101.73,1,2022102,-65.0039,101.7118,0,0,0
-65.01,101.73,1,2022103,-65.002,101.7059,0,0,0
-65.01,101.73,1,2022104,-65.0006,101.7017,0,0,0
-65.01,101.73,1,2022105,-65,101.7,1,8,7
-65.01,101.73,1,2022106,-65,101.7,0,0,0
-65.01,101.73,0,2022107,-65,101.7,0,0,0
-65.01,101.73,1,2022108,-65,101.7,0,0,0
-65.01,101.73,0,2022109,-65,101.7,0,0,0
-65.01,101.73,1,2022110,-65,101.7,0,0,0
-65.005,101.715,0,2022111,-65,101.7,0,0,0
-65,101.7,1,2022112,-65,101.7,1,8,7
-65,101.7,1,2022113,0,0,0,0,0
-65,101.7,1,2022114,0,0,0,0,0
-65,101.7,1,2022115,0,0,0,0,0
